:START_ID,:END_ID,relation,:TYPE
100001,203097,"董事长,董事",board_member_of
100002,203097,董事,board_member_of
100003,203097,董事,board_member_of
100004,203097,董事,board_member_of
100005,203097,董事,board_member_of
100006,203097,独立董事,board_member_of
100007,203097,独立董事,board_member_of
100008,203097,独立董事,board_member_of
100009,202796,"董事长,董事",board_member_of
100010,202796,董事,board_member_of
100011,202796,董事,board_member_of
100012,202796,董事,board_member_of
100013,202796,董事,board_member_of
100014,202796,董事,board_member_of
100015,202796,独立董事,board_member_of
100016,202796,独立董事,board_member_of
100017,202796,独立董事,board_member_of
100018,202805,"董事长,董事",board_member_of
100019,202805,董事,board_member_of
100020,202805,董事,board_member_of
100021,202805,董事,board_member_of
100022,202805,独立董事,board_member_of
100023,202805,独立董事,board_member_of
100024,202805,独立董事,board_member_of
100025,201657,"董事长,董事",board_member_of
100026,201657,董事,board_member_of
100027,201657,董事,board_member_of
100028,201657,董事,board_member_of
100029,201657,独立董事,board_member_of
100030,201657,独立董事,board_member_of
100031,201657,独立董事,board_member_of
100032,201837,"董事长,非执行董事",board_member_of
100033,201837,执行董事,board_member_of
100034,201837,执行董事,board_member_of
100035,201837,非执行董事,board_member_of
100036,201837,非执行董事,board_member_of
100037,201837,独立非执行董事,board_member_of
100038,201837,独立非执行董事,board_member_of
100039,201837,独立非执行董事,board_member_of
100040,202355,"董事长,董事",board_member_of
100041,202355,"副董事长,董事",board_member_of
100042,202355,董事,board_member_of
100043,202355,董事,board_member_of
100044,202355,董事,board_member_of
100045,202355,独立董事,board_member_of
100046,202355,独立董事,board_member_of
100047,202355,独立董事,board_member_of
100048,201699,"董事长,董事",board_member_of
100049,201699,董事,board_member_of
100050,201699,董事,board_member_of
100051,201699,董事,board_member_of
100052,201699,董事,board_member_of
100053,201699,董事,board_member_of
100054,201699,独立董事,board_member_of
100055,201699,独立董事,board_member_of
100056,201699,独立董事,board_member_of
100057,200171,"董事长,董事",board_member_of
100058,200171,董事,board_member_of
100059,200171,董事,board_member_of
100060,200171,独立董事,board_member_of
100061,200171,独立董事,board_member_of
100062,201219,"董事长,董事",board_member_of
100063,201219,"副董事长,董事",board_member_of
100064,201219,董事,board_member_of
100065,201219,董事,board_member_of
100066,201219,独立董事,board_member_of
100067,201219,独立董事,board_member_of
100068,201219,独立董事,board_member_of
100069,201907,"董事长,董事",board_member_of
100070,201907,"副董事长,董事",board_member_of
100071,201907,董事,board_member_of
100072,201907,董事,board_member_of
100073,201907,董事,board_member_of
100074,201907,董事,board_member_of
100075,201907,董事,board_member_of
100076,201907,独立董事,board_member_of
100077,201907,独立董事,board_member_of
100078,201907,独立董事,board_member_of
100079,201907,独立董事,board_member_of
100080,202587,"董事长,董事",board_member_of
100081,202587,董事,board_member_of
100082,202587,董事,board_member_of
100083,202587,董事,board_member_of
100084,202587,董事,board_member_of
100085,202587,董事,board_member_of
100086,202587,独立董事,board_member_of
100087,202587,独立董事,board_member_of
100088,202587,独立董事,board_member_of
100089,202320,"董事长,董事",board_member_of
100090,202320,董事,board_member_of
100091,202320,董事,board_member_of
100092,202320,董事,board_member_of
100093,202320,董事,board_member_of
100094,202320,独立董事,board_member_of
100095,202320,独立董事,board_member_of
100096,202320,独立董事,board_member_of
100097,202320,独立董事,board_member_of
100098,202398,"董事长,董事",board_member_of
100099,202398,董事,board_member_of
100100,202398,董事,board_member_of
100101,202398,董事,board_member_of
100102,202398,董事,board_member_of
100103,202398,独立董事,board_member_of
100104,202398,独立董事,board_member_of
100105,202398,独立董事,board_member_of
100106,202558,"董事长,董事",board_member_of
100107,202558,"副董事长,董事",board_member_of
100108,202558,董事,board_member_of
100109,202558,董事,board_member_of
100110,202558,董事,board_member_of
100111,202558,董事,board_member_of
100112,202558,独立董事,board_member_of
100113,202558,独立董事,board_member_of
100114,202558,独立董事,board_member_of
100115,200493,"董事长,董事",board_member_of
100116,200493,"副董事长,董事",board_member_of
100117,200493,董事,board_member_of
100118,200493,董事,board_member_of
100119,200493,董事,board_member_of
100120,200493,董事,board_member_of
100121,200493,独立董事,board_member_of
100122,200493,独立董事,board_member_of
100123,200493,独立董事,board_member_of
100124,202006,"董事长,董事",board_member_of
100125,202006,董事,board_member_of
100126,202006,董事,board_member_of
100127,202006,董事,board_member_of
100128,202006,董事,board_member_of
100129,202006,董事,board_member_of
100130,202006,独立董事,board_member_of
100131,202006,独立董事,board_member_of
100132,202006,独立董事,board_member_of
100133,201051,"董事长,董事",board_member_of
100134,201051,"副董事长,董事",board_member_of
100135,201051,董事,board_member_of
100136,201051,董事,board_member_of
100137,201051,董事,board_member_of
100138,201051,董事,board_member_of
100139,201051,独立董事,board_member_of
100140,201051,独立董事,board_member_of
100141,201051,独立董事,board_member_of
100142,200839,"董事长,董事",board_member_of
100143,200839,董事,board_member_of
100144,200839,董事,board_member_of
100145,200839,董事,board_member_of
100146,200839,董事,board_member_of
100147,200839,董事,board_member_of
100148,200839,董事,board_member_of
100149,200839,董事,board_member_of
100150,200839,独立董事,board_member_of
100151,200839,独立董事,board_member_of
100152,200839,独立董事,board_member_of
100153,200839,独立董事,board_member_of
100154,202465,"代董事长,董事",board_member_of
100155,202465,董事,board_member_of
100156,202465,董事,board_member_of
100157,202465,董事,board_member_of
