:START_ID,:END_ID,relation,:TYPE
202697,500001,area_of,area_of
202975,500001,area_of,area_of
203362,500001,area_of,area_of
200040,500001,area_of,area_of
201442,500001,area_of,area_of
203191,500001,area_of,area_of
202799,500001,area_of,area_of
201101,500001,area_of,area_of
202185,500001,area_of,area_of
201219,500001,area_of,area_of
200169,500001,area_of,area_of
203522,500001,area_of,area_of
200453,500001,area_of,area_of
200604,500001,area_of,area_of
200641,500001,area_of,area_of
200447,500001,area_of,area_of
202864,500001,area_of,area_of
202656,500001,area_of,area_of
202064,500001,area_of,area_of
202841,500001,area_of,area_of
202416,500001,area_of,area_of
200567,500001,area_of,area_of
203345,500001,area_of,area_of
202550,500001,area_of,area_of
201036,500001,area_of,area_of
200968,500001,area_of,area_of
203347,500001,area_of,area_of
201124,500001,area_of,area_of
200747,500001,area_of,area_of
201390,500001,area_of,area_of
202591,500001,area_of,area_of
202647,500001,area_of,area_of
200714,500001,area_of,area_of
201478,500001,area_of,area_of
202527,500001,area_of,area_of
200669,500001,area_of,area_of
201139,500001,area_of,area_of
201136,500001,area_of,area_of
200991,500001,area_of,area_of
202508,500001,area_of,area_of
201802,500001,area_of,area_of
200547,500001,area_of,area_of
202873,500001,area_of,area_of
203215,500001,area_of,area_of
202229,500001,area_of,area_of
202239,500001,area_of,area_of
202872,500001,area_of,area_of
200011,500001,area_of,area_of
203034,500001,area_of,area_of
202098,500001,area_of,area_of
202219,500001,area_of,area_of
202364,500001,area_of,area_of
200634,500001,area_of,area_of
201728,500001,area_of,area_of
202050,500001,area_of,area_of
201484,500001,area_of,area_of
200896,500001,area_of,area_of
200481,500001,area_of,area_of
201834,500001,area_of,area_of
200227,500001,area_of,area_of
201981,500001,area_of,area_of
202798,500001,area_of,area_of
201559,500001,area_of,area_of
202002,500001,area_of,area_of
201929,500001,area_of,area_of
202384,500001,area_of,area_of
202829,500001,area_of,area_of
202636,500001,area_of,area_of
200427,500001,area_of,area_of
201440,500001,area_of,area_of
201029,500001,area_of,area_of
200089,500001,area_of,area_of
202809,500001,area_of,area_of
202082,500001,area_of,area_of
200643,500001,area_of,area_of
202086,500001,area_of,area_of
203204,500001,area_of,area_of
201651,500001,area_of,area_of
202099,500001,area_of,area_of
200292,500001,area_of,area_of
203511,500001,area_of,area_of
201838,500001,area_of,area_of
200391,500001,area_of,area_of
202942,500001,area_of,area_of
200621,500001,area_of,area_of
202572,500001,area_of,area_of
201521,500001,area_of,area_of
201770,500001,area_of,area_of
200807,500001,area_of,area_of
202091,500001,area_of,area_of
200836,500001,area_of,area_of
200419,500001,area_of,area_of
201451,500001,area_of,area_of
201276,500001,area_of,area_of
201676,500001,area_of,area_of
202634,500001,area_of,area_of
201083,500001,area_of,area_of
201100,500001,area_of,area_of
201085,500001,area_of,area_of
200529,500001,area_of,area_of
201081,500001,area_of,area_of
200111,500001,area_of,area_of
201533,500001,area_of,area_of
201980,500001,area_of,area_of
203216,500001,area_of,area_of
200729,500001,area_of,area_of
202027,500001,area_of,area_of
202678,500001,area_of,area_of
202983,500001,area_of,area_of
200216,500001,area_of,area_of
201402,500001,area_of,area_of
201182,500001,area_of,area_of
201566,500001,area_of,area_of
200229,500001,area_of,area_of
202166,500001,area_of,area_of
200323,500001,area_of,area_of
201722,500001,area_of,area_of
202511,500001,area_of,area_of
202440,500001,area_of,area_of
201510,500001,area_of,area_of
200861,500001,area_of,area_of
202301,500001,area_of,area_of
202490,500001,area_of,area_of
200575,500001,area_of,area_of
201385,500001,area_of,area_of
200210,500001,area_of,area_of
200909,500001,area_of,area_of
200671,500001,area_of,area_of
200858,500001,area_of,area_of
201474,500001,area_of,area_of
200409,500001,area_of,area_of
203065,500001,area_of,area_of
201865,500001,area_of,area_of
202369,500001,area_of,area_of
203154,500001,area_of,area_of
202556,500001,area_of,area_of
202769,500001,area_of,area_of
201539,500001,area_of,area_of
201397,500001,area_of,area_of
200589,500001,area_of,area_of
203497,500001,area_of,area_of
202791,500001,area_of,area_of
200973,500001,area_of,area_of
202963,500001,area_of,area_of
200443,500001,area_of,area_of
200642,500001,area_of,area_of
202688,500001,area_of,area_of
202157,500001,area_of,area_of
201931,500001,area_of,area_of
201707,500001,area_of,area_of
200745,500001,area_of,area_of
201780,500001,area_of,area_of
200848,500001,area_of,area_of
202021,500001,area_of,area_of
201395,500001,area_of,area_of
201808,500001,area_of,area_of
202235,500001,area_of,area_of
200728,500001,area_of,area_of
201924,500001,area_of,area_of
202420,500001,area_of,area_of
203114,500001,area_of,area_of
200149,500001,area_of,area_of
202832,500001,area_of,area_of
202619,500001,area_of,area_of
200122,500001,area_of,area_of
202968,500001,area_of,area_of
202753,500001,area_of,area_of
200755,500001,area_of,area_of
200159,500001,area_of,area_of
200400,500001,area_of,area_of
201926,500001,area_of,area_of
201386,500001,area_of,area_of
200882,500001,area_of,area_of
202127,500001,area_of,area_of
202148,500001,area_of,area_of
203263,500001,area_of,area_of
202882,500001,area_of,area_of
202804,500001,area_of,area_of
202699,500001,area_of,area_of
201022,500001,area_of,area_of
200476,500001,area_of,area_of
200815,500001,area_of,area_of
202957,500001,area_of,area_of
202133,500001,area_of,area_of
200293,500001,area_of,area_of
202414,500001,area_of,area_of
202904,500001,area_of,area_of
200727,500001,area_of,area_of
202969,500001,area_of,area_of
203329,500001,area_of,area_of
200956,500001,area_of,area_of
203162,500001,area_of,area_of
203211,500001,area_of,area_of
202241,500001,area_of,area_of
200007,500001,area_of,area_of
202618,500001,area_of,area_of
200194,500001,area_of,area_of
201601,500001,area_of,area_of
202137,500001,area_of,area_of
200847,500001,area_of,area_of
202348,500001,area_of,area_of
202625,500001,area_of,area_of
201034,500001,area_of,area_of
201024,500001,area_of,area_of
202386,500001,area_of,area_of
200819,500001,area_of,area_of
201656,500001,area_of,area_of
202169,500001,area_of,area_of
201595,500001,area_of,area_of
201796,500001,area_of,area_of
200246,500001,area_of,area_of
203160,500001,area_of,area_of
202823,500001,area_of,area_of
200944,500001,area_of,area_of
200629,500001,area_of,area_of
201818,500001,area_of,area_of
202532,500001,area_of,area_of
201657,500001,area_of,area_of
201421,500001,area_of,area_of
202729,500001,area_of,area_of
200466,500001,area_of,area_of
200550,500001,area_of,area_of
