:START_ID,:END_ID,relation,:TYPE
201360,600001,st_of,st_of
201348,600002,st_of,st_of
203272,600003,st_of,st_of
200097,600004,st_of,st_of
201509,600005,st_of,st_of
201779,600006,st_of,st_of
201338,600007,st_of,st_of
200104,600008,st_of,st_of
201333,600009,st_of,st_of
202859,600010,st_of,st_of
200233,600011,st_of,st_of
200513,600012,st_of,st_of
202312,600013,st_of,st_of
200001,600014,st_of,st_of
202561,600015,st_of,st_of
201513,600016,st_of,st_of
200678,600017,st_of,st_of
200009,600018,st_of,st_of
200047,600019,st_of,st_of
200583,600020,st_of,st_of
200382,600021,st_of,st_of
203473,600022,st_of,st_of
201855,600023,st_of,st_of
203432,600024,st_of,st_of
201307,600025,st_of,st_of
202297,600026,st_of,st_of
201306,600027,st_of,st_of
203070,600028,st_of,st_of
201880,600029,st_of,st_of
200390,600030,st_of,st_of
200236,600031,st_of,st_of
201296,600032,st_of,st_of
201295,600033,st_of,st_of
201293,600034,st_of,st_of
201292,600035,st_of,st_of
202819,600036,st_of,st_of
201289,600037,st_of,st_of
203150,600038,st_of,st_of
201565,600039,st_of,st_of
200081,600040,st_of,st_of
202652,600041,st_of,st_of
201284,600042,st_of,st_of
201283,600043,st_of,st_of
201282,600044,st_of,st_of
202890,600045,st_of,st_of
203463,600046,st_of,st_of
201275,600047,st_of,st_of
203099,600048,st_of,st_of
202340,600049,st_of,st_of
200335,600050,st_of,st_of
203470,600051,st_of,st_of
200059,600052,st_of,st_of
202533,600053,st_of,st_of
200012,600054,st_of,st_of
201270,600055,st_of,st_of
201765,600056,st_of,st_of
203310,600057,st_of,st_of
201262,600058,st_of,st_of
201261,600059,st_of,st_of
200085,600060,st_of,st_of
201758,600061,st_of,st_of
201248,600062,st_of,st_of
203234,600063,st_of,st_of
202357,600064,st_of,st_of
202851,600065,st_of,st_of
201913,600066,st_of,st_of
200005,600067,st_of,st_of
203015,600068,st_of,st_of
203127,600069,st_of,st_of
201236,600070,st_of,st_of
202730,600071,st_of,st_of
202150,600072,st_of,st_of
202570,600073,st_of,st_of
201516,600074,st_of,st_of
201526,600075,st_of,st_of
200677,600076,st_of,st_of
200550,600077,st_of,st_of
201176,600078,st_of,st_of
202456,600079,st_of,st_of
202808,600080,st_of,st_of
201782,600081,st_of,st_of
201651,600082,st_of,st_of
201168,600083,st_of,st_of
200711,600084,st_of,st_of
200096,600085,st_of,st_of
200355,600086,st_of,st_of
202738,600087,st_of,st_of
202748,600088,st_of,st_of
200936,600089,st_of,st_of
200849,600090,st_of,st_of
200802,600091,st_of,st_of
202203,600092,st_of,st_of
200339,600093,st_of,st_of
200168,600094,st_of,st_of
201568,600095,st_of,st_of
200343,600096,st_of,st_of
201143,600097,st_of,st_of
200375,600098,st_of,st_of
202648,600099,st_of,st_of
201142,600100,st_of,st_of
200702,600101,st_of,st_of
201141,600102,st_of,st_of
201795,600103,st_of,st_of
200540,600104,st_of,st_of
201761,600105,st_of,st_of
200482,600106,st_of,st_of
202006,600107,st_of,st_of
202086,600108,st_of,st_of
203471,600109,st_of,st_of
200453,600110,st_of,st_of
202656,600111,st_of,st_of
200944,600112,st_of,st_of
202128,600113,st_of,st_of
200222,600114,st_of,st_of
201126,600115,st_of,st_of
200896,600116,st_of,st_of
201894,600117,st_of,st_of
201123,600118,st_of,st_of
203206,600119,st_of,st_of
201727,600120,st_of,st_of
200173,600121,st_of,st_of
200621,600122,st_of,st_of
202609,600123,st_of,st_of
202097,600124,st_of,st_of
202487,600125,st_of,st_of
201517,600126,st_of,st_of
200287,600127,st_of,st_of
202959,600128,st_of,st_of
202293,600129,st_of,st_of
200127,600130,st_of,st_of
201465,600131,st_of,st_of
201973,600132,st_of,st_of
200509,600133,st_of,st_of
201088,600134,st_of,st_of
202458,600135,st_of,st_of
202728,600136,st_of,st_of
201975,600137,st_of,st_of
203351,600138,st_of,st_of
